Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
109	1	sp|A3KGF9|CO052_MOUSE	 	 	 	 	6.1	545	58688	Uncharacterized protein C15orf52 homolog OS=Mus musculus PE=1 SV=1	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
110	1	sp|A3KGS3|RGPA2_MOUSE	 	 	 	 	3.7	1872	210286	Ral GTPase-activating protein subunit alpha-2 OS=Mus musculus GN=Ralgapa2 PE=1 SV=2	7	7	1.000	4	1	0	2	4	1	0	2	4.000	1.000	0.000	2.000
111	1	sp|A3KGV1|ODFP2_MOUSE	 	 	 	 	31.2	830	95540	Outer dense fiber protein 2 OS=Mus musculus GN=Odf2 PE=1 SV=1	71	71	1.000	9	30	14	18	9	30	14	18	9.000	30.000	14.000	18.000
112	1	sp|A3KMP2|TTC38_MOUSE	 	 	 	 	45.8	465	52223	Tetratricopeptide repeat protein 38 OS=Mus musculus GN=Ttc38 PE=1 SV=2	101	101	1.000	26	24	26	25	26	24	26	25	26.000	24.000	26.000	25.000
113	1	sp|A6H584|CO6A5_MOUSE	 	 	sp|A6H584|CO6A5_MOUSE, sp|Q8C6K9|CO6A6_MOUSE	 	18.1	2640	289571	Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=4	162	149	0.920	43	43	36	40	40	38	35	36	41.967	41.167	35.673	38.667
114	1	sp|A6H5Y3|METH_MOUSE	 	 	 	 	18.1	1253	139067	Methionine synthase OS=Mus musculus GN=Mtr PE=1 SV=1	40	40	1.000	9	9	12	10	9	9	12	10	9.000	9.000	12.000	10.000
115	1	sp|A6H5Z3|EXC6B_MOUSE	 	 	 	 	5.4	810	94129	Exocyst complex component 6B OS=Mus musculus GN=Exoc6b PE=1 SV=1	7	7	1.000	2	2	1	2	2	2	1	2	2.000	2.000	1.000	2.000
116	1	sp|A6H611|MIPEP_MOUSE	 	 	 	 	7.3	711	80851	Mitochondrial intermediate peptidase OS=Mus musculus GN=Mipep PE=1 SV=1	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
117	1	sp|A6H630|ARMT1_MOUSE	 	 	 	 	14.1	439	50548	Protein-glutamate O-methyltransferase OS=Mus musculus GN=Armt1 PE=1 SV=1	11	11	1.000	4	3	2	2	4	3	2	2	4.000	3.000	2.000	2.000
118	1	sp|A6H6E2|MMRN2_MOUSE	 	 	 	 	11.7	943	105205	Multimerin-2 OS=Mus musculus GN=Mmrn2 PE=1 SV=1	20	20	1.000	5	4	5	6	5	4	5	6	5.000	4.000	5.000	6.000
119	1	sp|A6H8H2|DEN4C_MOUSE	 	 	 	 	3.7	1906	211456	DENN domain-containing protein 4C OS=Mus musculus GN=Dennd4c PE=1 SV=1	12	12	1.000	3	3	4	2	3	3	4	2	3.000	3.000	4.000	2.000
120	1	sp|A6X8Z5|RHG31_MOUSE	 	 	 	 	2.0	1425	155275	Rho GTPase-activating protein 31 OS=Mus musculus GN=Arhgap31 PE=1 SV=1	5	5	1.000	1	1	2	1	1	1	2	1	1.000	1.000	2.000	1.000
121	1	sp|A6X935|ITIH4_MOUSE	 	 	 	 	37.9	942	104658	Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus GN=Itih4 PE=1 SV=2	122	122	1.000	32	30	30	30	32	30	30	30	32.000	30.000	30.000	30.000
122	1	sp|B1AR13|CISD3_MOUSE	 	 	 	 	10.9	137	15676	CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Mus musculus GN=Cisd3 PE=1 SV=1	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
123	1	sp|B1AVY7|KI16B_MOUSE	 	 	sp|B1AVY7|KI16B_MOUSE, sp|P28741|KIF3A_MOUSE	 	2.4	1312	150056	Kinesin-like protein KIF16B OS=Mus musculus GN=Kif16b PE=1 SV=1	5	3	0.600	0	1	2	2	0	1	1	1	0.000	1.000	1.500	1.333
124	1	sp|B1AY13|UBP24_MOUSE	 	 	 	 	3.5	2617	293998	Ubiquitin carboxyl-terminal hydrolase 24 OS=Mus musculus GN=Usp24 PE=1 SV=1	12	12	1.000	4	3	2	3	4	3	2	3	4.000	3.000	2.000	3.000
125	1	sp|B1AZP2|DLGP4_MOUSE	 	 	 	 	9.7	992	108036	Disks large-associated protein 4 OS=Mus musculus GN=Dlgap4 PE=1 SV=1	26	26	1.000	7	4	10	5	7	4	10	5	7.000	4.000	10.000	5.000
126	1	sp|B2RQC6|PYR1_MOUSE	 	 	sp|B2RQC6|PYR1_MOUSE, sp|Q8C196|CPSM_MOUSE	 	21.2	2225	243236	CAD protein OS=Mus musculus GN=Cad PE=1 SV=1	92	80	0.870	20	26	29	17	18	24	24	14	18.493	24.449	24.902	14.433
127	1	sp|B2RRE7|OTUD4_MOUSE	 	 	 	 	4.1	1107	123054	OTU domain-containing protein 4 OS=Mus musculus GN=Otud4 PE=1 SV=1	4	4	1.000	2	0	0	2	2	0	0	2	2.000	0.000	0.000	2.000
128	1	sp|B2RSH2|GNAI1_MOUSE	 	 	sp|B2RSH2|GNAI1_MOUSE, sp|P08752|GNAI2_MOUSE, sp|P18872|GNAO_MOUSE, sp|P27601|GNA13_MOUSE, sp|P63094|GNAS2_MOUSE, sp|Q9DC51|GNAI3_MOUSE	 	38.1	354	40361	Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Mus musculus GN=Gnai1 PE=1 SV=1	65	29	0.446	15	18	17	15	7	6	8	8	8.708	8.130	10.167	9.509
129	1	sp|B2RVY9|TM182_MOUSE	 	 	 	 	11.4	229	25845	Transmembrane protein 182 OS=Mus musculus GN=Tmem182 PE=1 SV=1	3	3	1.000	2	0	1	0	2	0	1	0	2.000	0.000	1.000	0.000
130	1	sp|B2RXC1|TPC11_MOUSE	 	 	 	 	13.4	1133	128395	Trafficking protein particle complex subunit 11 OS=Mus musculus GN=Trappc11 PE=1 SV=1	31	31	1.000	8	6	7	10	8	6	7	10	8.000	6.000	7.000	10.000
131	1	sp|B2RXR6|ANR44_MOUSE	 	 	sp|B2RXR6|ANR44_MOUSE, sp|Q505D1|ANR28_MOUSE	 	9.9	993	107384	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus GN=Ankrd44 PE=1 SV=1	25	20	0.800	8	5	5	7	7	4	4	5	8.000	5.000	5.000	6.667
132	1	sp|B2RXS4|PLXB2_MOUSE	 	 	 	 	7.9	1842	206228	Plexin-B2 OS=Mus musculus GN=Plxnb2 PE=1 SV=1	23	23	1.000	5	7	6	5	5	7	6	5	5.000	7.000	6.000	5.000
133	1	sp|B2RY04|DOCK5_MOUSE	 	 	 	 	1.7	1868	214427	Dedicator of cytokinesis protein 5 OS=Mus musculus GN=Dock5 PE=1 SV=2	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
134	1	sp|B2RY56|RBM25_MOUSE	 	 	 	 	4.1	838	99551	RNA-binding protein 25 OS=Mus musculus GN=Rbm25 PE=1 SV=2	5	5	1.000	1	2	2	0	1	2	2	0	1.000	2.000	2.000	0.000
135	1	sp|B7ZMP1|XPP3_MOUSE	 	 	 	 	30.2	506	56677	Probable Xaa-Pro aminopeptidase 3 OS=Mus musculus GN=Xpnpep3 PE=1 SV=1	50	50	1.000	11	12	14	13	11	12	14	13	11.000	12.000	14.000	13.000
136	1	sp|B9EJ86|OSBL8_MOUSE	 	 	 	 	7.6	889	101267	Oxysterol-binding protein-related protein 8 OS=Mus musculus GN=Osbpl8 PE=1 SV=1	9	9	1.000	1	3	3	2	1	3	3	2	1.000	3.000	3.000	2.000
137	1	sp|B9EKI3|TMF1_MOUSE	 	 	 	 	3.8	1091	121801	TATA element modulatory factor OS=Mus musculus GN=Tmf1 PE=1 SV=2	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
138	1	sp|C0HK79|ARXS1_MOUSE (+1)	sp|C0HK79|ARXS1_MOUSE&sp|C0HK80|ARXS2_MOUSE	 	 	 	26.1	180	20146	Adipocyte-related X-chromosome expressed sequence 1 OS=Mus musculus GN=Arxes1 PE=1 SV=1	22	22	1.000	4	6	5	7	4	6	5	7	4.000	6.000	5.000	7.000
139	1	sp|D0QMC3|MNDAL_MOUSE	 	 	sp|D0QMC3|MNDAL_MOUSE, sp|P0DOV1|IFI5B_MOUSE, sp|P0DOV2|IFI4_MOUSE, sp|Q8CGE8|IFI5A_MOUSE	 	18.2	538	60526	Myeloid cell nuclear differentiation antigen-like protein OS=Mus musculus GN=Mndal PE=1 SV=1	18	7	0.389	4	4	5	5	1	2	2	2	1.625	2.654	3.086	3.200
140	1	sp|D3YXK2|SAFB1_MOUSE	 	 	 	 	14.2	937	105102	Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=2	12	12	1.000	5	2	3	2	5	2	3	2	5.000	2.000	3.000	2.000
141	1	sp|D3YZP9|CCDC6_MOUSE	 	 	 	 	21.1	469	52938	Coiled-coil domain-containing protein 6 OS=Mus musculus GN=Ccdc6 PE=1 SV=1	31	31	1.000	6	7	7	11	6	7	7	11	6.000	7.000	7.000	11.000
142	1	sp|D3Z4S3|PTRD1_MOUSE	 	 	 	 	38.6	140	16037	Putative peptidyl-tRNA hydrolase PTRHD1 OS=Mus musculus GN=Ptrhd1 PE=1 SV=1	18	18	1.000	3	4	6	5	3	4	6	5	3.000	4.000	6.000	5.000
143	1	sp|D3Z6P0|PDIA2_MOUSE	 	 	 	 	32.1	527	58316	Protein disulfide-isomerase A2 OS=Mus musculus GN=Pdia2 PE=1 SV=1	40	40	1.000	1	24	2	13	1	24	2	13	1.000	24.000	2.000	13.000
144	1	sp|D3Z7P3|GLSK_MOUSE	 	 	 	 	22.8	674	73963	Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=1 SV=1	40	40	1.000	10	11	11	8	10	11	11	8	10.000	11.000	11.000	8.000
145	1	sp|E9PV24|FIBA_MOUSE	 	 	 	 	29.4	789	87428	Fibrinogen alpha chain OS=Mus musculus GN=Fga PE=1 SV=1	131	131	1.000	32	36	30	33	32	36	30	33	32.000	36.000	30.000	33.000
146	1	sp|E9PVA8|GCN1_MOUSE	 	 	 	 	7.7	2671	293017	eIF-2-alpha kinase activator GCN1 OS=Mus musculus GN=Gcn1 PE=1 SV=1	34	34	1.000	6	10	9	9	6	10	9	9	6.000	10.000	9.000	9.000
147	1	sp|E9PZJ8|ASCC3_MOUSE	 	 	 	 	1.2	2198	250554	Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus GN=Ascc3 PE=1 SV=1	4	4	1.000	1	2	1	0	1	2	1	0	1.000	2.000	1.000	0.000
148	1	sp|E9Q1P8|I2BP2_MOUSE	 	 	 	 	5.3	570	59291	Interferon regulatory factor 2-binding protein 2 OS=Mus musculus GN=Irf2bp2 PE=1 SV=1	4	4	1.000	2	1	1	0	2	1	1	0	2.000	1.000	1.000	0.000
149	1	sp|E9Q286|ICE1_MOUSE	 	 	sp|E9Q286|ICE1_MOUSE, sp|Q6P1B1|XPP1_MOUSE	 	0.7	2241	242251	Little elongation complex subunit 1 OS=Mus musculus GN=Ice1 PE=1 SV=1	4	1	0.250	2	0	1	1	1	0	0	0	1.045	0.000	0.000	0.000
150	1	sp|E9Q394|AKP13_MOUSE	 	 	 	 	4.4	2776	303972	A-kinase anchor protein 13 OS=Mus musculus GN=Akap13 PE=1 SV=1	9	9	1.000	3	0	4	2	3	0	4	2	3.000	0.000	4.000	2.000
151	1	sp|E9Q3E1|AL3B2_MOUSE	 	 	sp|E9Q3E1|AL3B2_MOUSE, sp|Q80VQ0|AL3B1_MOUSE	 	24.2	479	52982	Aldehyde dehydrogenase family 3 member B2 OS=Mus musculus GN=Aldh3b2 PE=1 SV=1	28	22	0.786	5	8	8	7	4	6	7	5	4.667	7.714	8.000	7.000
152	1	sp|E9Q3L2|PI4KA_MOUSE	 	 	 	 	12.3	2105	237039	Phosphatidylinositol 4-kinase alpha OS=Mus musculus GN=Pi4ka PE=1 SV=2	40	40	1.000	9	8	12	11	9	8	12	11	9.000	8.000	12.000	11.000
153	1	sp|E9Q414|APOB_MOUSE	 	 	 	 	3.1	4505	509426	Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1	18	18	1.000	2	8	5	3	2	8	5	3	2.000	8.000	5.000	3.000
154	1	sp|E9Q4Z2|ACACB_MOUSE	 	 	sp|E9Q4Z2|ACACB_MOUSE, sp|Q5SWU9|ACACA_MOUSE	 	11.6	2448	275747	Acetyl-CoA carboxylase 2 OS=Mus musculus GN=Acacb PE=1 SV=1	83	31	0.373	25	22	18	18	12	7	5	7	13.857	8.221	5.903	8.013
155	1	sp|E9Q555|RN213_MOUSE	 	 	 	 	3.1	5152	584777	E3 ubiquitin-protein ligase RNF213 OS=Mus musculus GN=Rnf213 PE=1 SV=2	19	19	1.000	7	6	2	4	7	6	2	4	7.000	6.000	2.000	4.000
156	1	sp|E9Q634|MYO1E_MOUSE	 	 	 	 	3.6	1107	126816	Unconventional myosin-Ie OS=Mus musculus GN=Myo1e PE=1 SV=1	5	5	1.000	1	0	1	3	1	0	1	3	1.000	0.000	1.000	3.000
157	1	sp|E9Q6J5|BD1L1_MOUSE	 	 	 	 	1.1	3032	327449	Biorientation of chromosomes in cell division protein 1-like 1 OS=Mus musculus GN=Bod1l PE=1 SV=1	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
158	1	sp|E9Q6P5|TTC7B_MOUSE	 	 	 	 	10.7	843	94202	Tetratricopeptide repeat protein 7B OS=Mus musculus GN=Ttc7b PE=1 SV=1	33	33	1.000	8	8	10	7	8	8	10	7	8.000	8.000	10.000	7.000
159	1	sp|E9Q735|UBE4A_MOUSE	 	 	 	 	7.2	1028	118197	Ubiquitin conjugation factor E4 A OS=Mus musculus GN=Ube4a PE=1 SV=1	14	14	1.000	4	1	4	5	4	1	4	5	4.000	1.000	4.000	5.000
160	1	sp|E9Q8I9|FRY_MOUSE	 	 	 	 	6.9	3020	339089	Protein furry homolog OS=Mus musculus GN=Fry PE=1 SV=1	24	24	1.000	6	5	6	7	6	5	6	7	6.000	5.000	6.000	7.000
161	1	sp|F6ZDS4|TPR_MOUSE	 	 	 	 	17.1	2431	273987	Nucleoprotein TPR OS=Mus musculus GN=Tpr PE=1 SV=1	85	85	1.000	24	15	24	22	24	15	24	22	24.000	15.000	24.000	22.000
162	1	sp|F8VPU2|FARP1_MOUSE	 	 	 	 	5.0	1048	118874	FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Mus musculus GN=Farp1 PE=1 SV=1	8	8	1.000	2	3	1	2	2	3	1	2	2.000	3.000	1.000	2.000
163	1	sp|G3X982|AOXC_MOUSE	 	 	sp|G3X982|AOXC_MOUSE, sp|O54754|AOXA_MOUSE, sp|Q00519|XDH_MOUSE	 	11.7	1335	146900	Aldehyde oxidase 3 OS=Mus musculus GN=Aox3 PE=1 SV=1	38	27	0.711	13	6	13	6	10	3	10	4	10.476	3.206	10.703	4.183
164	1	sp|G3X9K3|BIG1_MOUSE	 	 	sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE	 	3.0	1846	208497	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus GN=Arfgef1 PE=1 SV=1	11	5	0.455	1	4	3	3	0	2	1	2	0.000	2.667	1.667	2.333
165	1	sp|G5E829|AT2B1_MOUSE	 	 	sp|G5E829|AT2B1_MOUSE, sp|Q6Q477|AT2B4_MOUSE	 	17.9	1220	134745	Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus GN=Atp2b1 PE=1 SV=1	59	24	0.407	14	20	12	13	6	10	5	3	7.920	13.704	6.522	4.579
166	1	sp|G5E870|TRIPC_MOUSE	 	 	 	 	2.6	2025	224125	E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1	5	5	1.000	0	1	1	3	0	1	1	3	0.000	1.000	1.000	3.000
167	1	sp|G5E8A8|TEKT5_MOUSE	 	 	 	 	13.1	557	62734	Tektin-5 OS=Mus musculus GN=Tekt5 PE=1 SV=1	7	7	1.000	0	5	1	1	0	5	1	1	0.000	5.000	1.000	1.000
168	1	sp|G5E8K5|ANK3_MOUSE	 	 	sp|G5E8K5|ANK3_MOUSE, sp|Q02357|ANK1_MOUSE, sp|Q8C8R3|ANK2_MOUSE	 	5.0	1961	214060	Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1	7	2	0.286	1	3	2	1	0	1	0	1	0.000	1.114	0.000	1.000
169	1	sp|G5E8Q8|AGRF5_MOUSE	 	 	 	 	2.3	1348	149385	Adhesion G protein-coupled receptor F5 OS=Mus musculus GN=Adgrf5 PE=1 SV=1	4	4	1.000	1	1	2	0	1	1	2	0	1.000	1.000	2.000	0.000
170	1	sp|O08528|HXK2_MOUSE	 	 	sp|O08528|HXK2_MOUSE, sp|P17710|HXK1_MOUSE, sp|Q3TRM8|HXK3_MOUSE, sp|Q8BJ34|MARF1_MOUSE, sp|Q91W97|HKDC1_MOUSE	 	34.2	917	102534	Hexokinase-2 OS=Mus musculus GN=Hk2 PE=1 SV=1	127	104	0.819	29	37	26	35	23	28	23	30	27.907	35.862	25.654	34.310
171	1	sp|O08529|CAN2_MOUSE	 	 	 	 	47.1	700	79871	Calpain-2 catalytic subunit OS=Mus musculus GN=Capn2 PE=1 SV=4	208	208	1.000	51	51	50	56	51	51	50	56	51.000	51.000	50.000	56.000
172	1	sp|O08532|CA2D1_MOUSE	 	 	 	 	10.9	1103	124629	Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus GN=Cacna2d1 PE=1 SV=1	12	12	1.000	3	6	2	1	3	6	2	1	3.000	6.000	2.000	1.000
173	1	sp|O08539|BIN1_MOUSE	 	 	 	 	30.8	588	64469	Myc box-dependent-interacting protein 1 OS=Mus musculus GN=Bin1 PE=1 SV=1	44	44	1.000	10	13	9	12	10	13	9	12	10.000	13.000	9.000	12.000
174	1	sp|O08547|SC22B_MOUSE	 	 	 	 	47.9	215	24740	Vesicle-trafficking protein SEC22b OS=Mus musculus GN=Sec22b PE=1 SV=3	48	48	1.000	11	13	12	12	11	13	12	12	11.000	13.000	12.000	12.000
175	1	sp|O08553|DPYL2_MOUSE	 	 	sp|O08553|DPYL2_MOUSE, sp|P97427|DPYL1_MOUSE, sp|Q62188|DPYL3_MOUSE	 	59.3	572	62277	Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2	197	145	0.736	52	44	45	56	37	33	33	42	48.741	41.600	41.000	52.542
176	1	sp|O08573|LEG9_MOUSE	 	 	 	 	23.5	353	40035	Galectin-9 OS=Mus musculus GN=Lgals9 PE=1 SV=1	19	19	1.000	3	5	5	6	3	5	5	6	3.000	5.000	5.000	6.000
177	1	sp|O08579|EMD_MOUSE	 	 	 	 	9.3	259	29435	Emerin OS=Mus musculus GN=Emd PE=1 SV=1	9	9	1.000	3	2	2	2	3	2	2	2	3.000	2.000	2.000	2.000
178	1	sp|O08582|GTPB1_MOUSE	 	 	 	 	10.3	668	72300	GTP-binding protein 1 OS=Mus musculus GN=Gtpbp1 PE=1 SV=2	11	11	1.000	2	2	5	2	2	2	5	2	2.000	2.000	5.000	2.000
179	1	sp|O08583|THOC4_MOUSE	 	 	 	 	20.8	255	26940	THO complex subunit 4 OS=Mus musculus GN=Alyref PE=1 SV=3	6	6	1.000	2	0	2	2	2	0	2	2	2.000	0.000	2.000	2.000
180	1	sp|O08585|CLCA_MOUSE	 	 	sp|A3KGB4|TBC8B_MOUSE, sp|O08585|CLCA_MOUSE	 	24.3	235	25604	Clathrin light chain A OS=Mus musculus GN=Clta PE=1 SV=2	33	30	0.909	6	8	9	10	5	8	8	9	5.625	8.000	8.667	9.750
181	1	sp|O08586|PTEN_MOUSE	 	 	 	 	11.7	403	47152	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN OS=Mus musculus GN=Pten PE=1 SV=1	11	11	1.000	3	1	3	4	3	1	3	4	3.000	1.000	3.000	4.000
182	1	sp|O08599|STXB1_MOUSE	 	 	 	 	16.0	594	67568	Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2	22	22	1.000	5	5	6	6	5	5	6	6	5.000	5.000	6.000	6.000
183	1	sp|O08601|MTP_MOUSE	 	 	 	 	12.6	894	99098	Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp PE=1 SV=2	15	15	1.000	2	5	4	4	2	5	4	4	2.000	5.000	4.000	4.000
184	1	sp|O08605|MKNK1_MOUSE	 	 	 	 	14.3	427	47914	MAP kinase-interacting serine/threonine-protein kinase 1 OS=Mus musculus GN=Mknk1 PE=1 SV=2	7	7	1.000	5	1	1	0	5	1	1	0	5.000	1.000	1.000	0.000
185	1	sp|O08638|MYH11_MOUSE	 	 	sp|O08638|MYH11_MOUSE, sp|Q5SX39|MYH4_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q6URW6|MYH14_MOUSE, sp|Q8VDD5|MYH9_MOUSE	 	45.5	1972	227025	Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1	600	474	0.790	125	171	147	157	96	134	115	129	109.317	153.964	130.444	142.487
186	1	sp|O08663|MAP2_MOUSE	 	 	 	 	43.5	478	52921	Methionine aminopeptidase 2 OS=Mus musculus GN=Metap2 PE=1 SV=1	50	50	1.000	9	14	12	15	9	14	12	15	9.000	14.000	12.000	15.000
187	1	sp|O08677|KNG1_MOUSE	 	 	 	 	34.2	661	73101	Kininogen-1 OS=Mus musculus GN=Kng1 PE=1 SV=1	241	241	1.000	68	62	55	56	68	62	55	56	68.000	62.000	55.000	56.000
188	1	sp|O08688|CAN5_MOUSE	 	 	 	 	5.0	640	72954	Calpain-5 OS=Mus musculus GN=Capn5 PE=1 SV=1	8	8	1.000	2	2	3	1	2	2	3	1	2.000	2.000	3.000	1.000
189	1	sp|O08709|PRDX6_MOUSE	 	 	 	 	58.9	224	24870	Peroxiredoxin-6 OS=Mus musculus GN=Prdx6 PE=1 SV=3	247	247	1.000	73	55	58	61	73	55	58	61	73.000	55.000	58.000	61.000
190	1	sp|O08716|FABP9_MOUSE	 	 	sp|O08716|FABP9_MOUSE, sp|P04117|FABP4_MOUSE, sp|P24526|MYP2_MOUSE	 	57.6	132	15017	Fatty acid-binding protein 9 OS=Mus musculus GN=Fabp9 PE=1 SV=2	311	17	0.055	80	71	84	76	5	7	1	4	5.403	7.344	1.446	4.387
191	1	sp|O08734|BAK_MOUSE	 	 	 	 	30.1	209	23294	Bcl-2 homologous antagonist/killer OS=Mus musculus GN=Bak1 PE=1 SV=3	6	6	1.000	1	2	2	1	1	2	2	1	1.000	2.000	2.000	1.000
192	1	sp|O08736|CASPC_MOUSE	 	 	 	 	5.0	419	47853	Caspase-12 OS=Mus musculus GN=Casp12 PE=1 SV=1	4	4	1.000	0	0	3	1	0	0	3	1	0.000	0.000	3.000	1.000
193	1	sp|O08738|CASP6_MOUSE	 	 	 	 	21.0	276	31595	Caspase-6 OS=Mus musculus GN=Casp6 PE=1 SV=1	20	20	1.000	5	7	4	4	5	7	4	4	5.000	7.000	4.000	4.000
194	1	sp|O08739|AMPD3_MOUSE	 	 	 	 	15.4	766	88651	AMP deaminase 3 OS=Mus musculus GN=Ampd3 PE=1 SV=2	25	25	1.000	5	6	5	9	5	6	5	9	5.000	6.000	5.000	9.000
195	1	sp|O08749|DLDH_MOUSE	 	 	 	 	48.5	509	54272	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2	164	164	1.000	44	43	43	34	44	43	43	34	44.000	43.000	43.000	34.000
196	1	sp|O08756|HCD2_MOUSE	 	 	 	 	37.2	261	27418	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4	84	84	1.000	23	19	21	21	23	19	21	21	23.000	19.000	21.000	21.000
197	1	sp|O08759|UBE3A_MOUSE	 	 	 	 	25.9	870	99818	Ubiquitin-protein ligase E3A OS=Mus musculus GN=Ube3a PE=1 SV=2	59	59	1.000	14	11	16	18	14	11	16	18	14.000	11.000	16.000	18.000
198	1	sp|O08784|TCOF_MOUSE	 	 	 	 	12.5	1320	135000	Treacle protein OS=Mus musculus GN=Tcof1 PE=1 SV=1	24	24	1.000	9	5	5	5	9	5	5	5	9.000	5.000	5.000	5.000
199	1	sp|O08788|DCTN1_MOUSE	 	 	 	 	43.0	1281	141674	Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=3	188	188	1.000	49	44	44	51	49	44	44	51	49.000	44.000	44.000	51.000
200	1	sp|O08795|GLU2B_MOUSE	 	 	 	 	31.1	521	58792	Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1	56	56	1.000	12	13	16	15	12	13	16	15	12.000	13.000	16.000	15.000
201	1	sp|O08796|EF2K_MOUSE	 	 	 	 	6.5	724	81738	Eukaryotic elongation factor 2 kinase OS=Mus musculus GN=Eef2k PE=1 SV=1	7	7	1.000	1	3	1	2	1	3	1	2	1.000	3.000	1.000	2.000
202	1	sp|O08800|SPB8_MOUSE	 	 	 	 	27.3	374	42150	Serpin B8 OS=Mus musculus GN=Serpinb8 PE=1 SV=2	29	29	1.000	8	6	6	9	8	6	6	9	8.000	6.000	6.000	9.000
203	1	sp|O08807|PRDX4_MOUSE	 	 	sp|O08807|PRDX4_MOUSE, sp|P35700|PRDX1_MOUSE	 	49.6	274	31052	Peroxiredoxin-4 OS=Mus musculus GN=Prdx4 PE=1 SV=1	66	19	0.288	16	17	17	16	4	4	4	7	4.632	4.852	4.754	7.984
204	1	sp|O08808|DIAP1_MOUSE	 	 	 	 	13.7	1255	139342	Protein diaphanous homolog 1 OS=Mus musculus GN=Diaph1 PE=1 SV=1	22	22	1.000	5	3	8	6	5	3	8	6	5.000	3.000	8.000	6.000
205	1	sp|O08810|U5S1_MOUSE	 	 	sp|O08810|U5S1_MOUSE, sp|P58252|EF2_MOUSE	 	24.8	971	109359	116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=1 SV=1	53	51	0.962	12	13	16	12	12	13	15	11	12.000	13.000	15.135	11.087
206	1	sp|O08908|P85B_MOUSE	 	 	sp|O08908|P85B_MOUSE, sp|P26450|P85A_MOUSE	 	5.1	722	81265	Phosphatidylinositol 3-kinase regulatory subunit beta OS=Mus musculus GN=Pik3r2 PE=1 SV=2	4	1	0.250	1	0	1	2	0	0	0	1	0.000	0.000	0.000	1.125
207	1	sp|O08911|MK12_MOUSE	 	 	sp|O08911|MK12_MOUSE, sp|P47811|MK14_MOUSE, sp|Q61831|MK10_MOUSE, sp|Q6PDN3|MYLK_MOUSE, sp|Q91Y86|MK08_MOUSE, sp|Q9WTU6|MK09_MOUSE	 	17.7	367	42043	Mitogen-activated protein kinase 12 OS=Mus musculus GN=Mapk12 PE=1 SV=1	20	12	0.600	5	6	4	5	3	4	2	3	3.113	4.113	2.113	3.113
208	1	sp|O08915|AIP_MOUSE	 	 	 	 	26.7	330	37605	AH receptor-interacting protein OS=Mus musculus GN=Aip PE=1 SV=1	19	19	1.000	5	3	5	6	5	3	5	6	5.000	3.000	5.000	6.000
209	1	sp|O08917|FLOT1_MOUSE	 	 	 	 	47.4	428	47513	Flotillin-1 OS=Mus musculus GN=Flot1 PE=1 SV=1	67	67	1.000	14	14	20	19	14	14	20	19	14.000	14.000	20.000	19.000
